Postcode,Index of Multiple Deprivation Rank,Index of Multiple Deprivation Decile,Income Rank,Income Decile,Income Score,Employment Rank,Employment Decile,Employment Score,Education and Skills Rank,Education and Skills Decile,Health and Disability Rank,Health and Disability Decile,Crime Rank,Crime Decile,Barriers to Housing and Services Rank,Barriers to Housing and Services Decile,Living Environment Rank,Living Environment Decile,IDACI Rank,IDACI Decile,IDACI Score,IDAOPI Rank,IDAOPI Decile,IDAOPI Score
CR2,15867.1,5.4,15956.6,5.4,0.13989999999999997,17642.6,6.0,0.1002,18756.9,6.2,19970.3,6.6,8485.6,3.2,11179.6,3.9,12821.9,4.4,14506.3,4.9,0.20090000000000002,17009.5,5.9,0.1769
CR3,26779.1,8.5,26983.4,8.7,0.053200000000000004,25720.5,8.3,0.056400000000000006,22917.2,7.5,26164.8,8.4,18251.2,6.0,18810.1,6.4,23646.4,7.6,26800.2,8.7,0.0616,28063.6,9.0,0.0651
CR4,13894.5,4.75,11681.375,4.125,0.17025,14293.25,4.75,0.115125,14979.0,5.125,19726.25,6.5,7870.875,2.875,15703.375,5.25,13960.375,4.75,11085.5,3.875,0.23349999999999999,11948.25,4.0,0.20675
CR44,15595.0,5.0,14554.0,5.0,0.129,17164.0,6.0,0.093,17319.0,6.0,20471.0,7.0,9457.0,3.0,5288.0,2.0,19014.0,6.0,13240.0,5.0,0.18700000000000003,17208.0,6.0,0.14199999999999996
CR5,24032.0,7.8,23251.3,7.5,0.0748,23425.4,7.7,0.0683,23159.0,7.6,25719.3,8.4,14957.8,5.1,13901.5,4.6,23743.1,7.9,21803.2,7.1,0.10250000000000001,25182.1,8.1,0.0865
CR6,25724.8,8.3,24026.5,7.8,0.0711,25272.8,7.9,0.0595,19329.6,6.4,28638.1,9.1,14713.1,5.1,21420.5,7.2,22986.3,7.5,19825.2,6.5,0.12009999999999998,27619.5,8.9,0.0683
CR7,8918.777777777777,3.111111111111111,7080.333333333333,2.5555555555555554,0.23522222222222222,9602.666666666666,3.3333333333333335,0.15533333333333335,15071.333333333334,5.0,13908.333333333334,4.777777777777778,5903.111111111111,2.3333333333333335,6398.222222222223,2.4444444444444446,11159.666666666666,3.888888888888889,7750.444444444444,2.888888888888889,0.28455555555555556,8054.0,3.111111111111111,0.31044444444444447
CR8,22164.0,7.2,23089.9,7.4,0.0785,23703.9,7.7,0.06670000000000001,27512.5,8.9,23792.1,7.7,11347.9,3.8,8540.2,3.1,19442.9,6.5,22312.5,7.4,0.1045,25011.0,8.0,0.0903
CR9,7699.4,3.1,10424.6,3.8,0.1758,15193.5,5.4,0.10759999999999999,14047.9,4.9,11439.2,4.3,2599.6,1.6,4489.8,1.9,4268.5,1.8,8375.8,3.1,0.26919999999999994,8474.5,3.3,0.2565
CR90,3657.0,2.0,4586.0,2.0,0.26899999999999996,6741.0,3.0,0.175,4058.0,2.0,10266.0,4.0,190.0,1.0,4738.0,2.0,7694.0,3.0,4600.0,2.0,0.349,3464.0,2.0,0.363
CT1,16479.1,5.6,19354.5,6.7,0.11190000000000003,19865.5,6.5,0.09220000000000002,19863.4,6.7,16074.4,5.6,8030.5,3.0,15768.4,5.3,14458.3,5.1,17442.9,5.8,0.1694,19163.8,6.6,0.14799999999999996
CT10,18869.1,6.3,16925.3,5.7,0.12329999999999999,15932.1,5.4,0.1076,20091.0,6.6,21141.9,7.2,12971.5,4.3,23297.9,7.5,16460.0,5.7,17884.0,5.8,0.1448,17460.5,5.9,0.15940000000000004
CT11,11129.3,3.9,9969.3,3.5,0.1984,9833.9,3.4,0.1599,12196.0,4.1,11948.2,3.9,6914.8,2.8,23014.8,7.6,14214.3,4.7,11532.6,4.1,0.23420000000000002,11573.1,3.9,0.215
CT12,14278.1,4.8,14006.1,4.8,0.1614,13971.9,5.1,0.1424,13557.1,4.6,15667.8,5.3,11814.4,4.1,14875.3,5.1,19330.6,6.4,15129.8,5.3,0.18870000000000003,15318.2,5.1,0.1725
CT13,17474.3,5.8,16241.9,5.6,0.1236,14350.6,4.8,0.11439999999999999,19309.5,6.7,22754.2,7.3,18768.4,6.5,12820.3,4.2,20179.3,6.8,18186.8,5.8,0.13940000000000002,18033.8,5.8,0.1437
CT14,19544.1,6.3,17328.4,5.8,0.1131,15531.5,5.3,0.1045,19807.5,6.6,22067.9,7.4,19834.9,6.5,18154.1,6.0,19294.4,6.3,16596.2,5.5,0.15189999999999998,20354.5,6.6,0.12349999999999998
CT15,21043.8,6.8,23296.2,7.6,0.07289999999999999,21013.6,6.9,0.07790000000000001,19783.6,6.5,21280.2,7.1,23130.4,7.4,9222.7,3.2,16243.9,5.5,23476.4,7.9,0.0859,22391.2,7.3,0.11949999999999997
CT16,15344.666666666666,5.222222222222222,15189.0,5.111111111111111,0.13944444444444445,13312.666666666666,4.555555555555555,0.13011111111111112,12504.0,4.444444444444445,15765.888888888889,5.333333333333333,14665.0,5.0,15833.0,5.222222222222222,19559.666666666668,6.555555555555555,14980.444444444445,5.111111111111111,0.184,20045.555555555555,6.666666666666667,0.13466666666666666
CT17,12861.1,4.5,12990.5,4.4,0.1949,12292.8,4.1,0.15739999999999998,7490.7,2.8,14217.7,4.7,10687.1,3.8,21841.0,7.0,15682.3,5.2,11648.8,3.9,0.25870000000000004,14938.5,5.0,0.19280000000000003
